id,popularity,budget,revenue,original_title,cast,director,runtime,genres,production_companies,vote_count,release_year,profit
1124.0,2.582095,43266766.33,118633483.0,The Prestige,Hugh Jackman|Christian Bale|Michael Caine|Scarlett Johansson|Andy Serkis,Christopher Nolan,130.0,['Animation Family'],Touchstone Pictures|Syncopy,2519.0,2006.0,0.0
1593.0,2.313345,118983607.4,621398207.7,Night at the Museum,Ben Stiller|Jake Cherry|Carla Gugino|Robin Williams|Dick Van Dyke,Shawn Levy,108.0,['Action Adventure Comedy'],Ingenious Film Partners|Twentieth Century Fox Film Corporation|1492 Pictures|21 Laps Entertainment,1572.0,2006.0,-4400000.0
1164.0,2.160936,27041728.96,146382484.1,Babel,Brad Pitt|Cate Blanchett|Gael GarcÃ­a Bernal|Rinko Kikuchi|Adriana Barraza,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,143.0,['Action Comedy Drama'],Paramount Vantage|Media Rights Capital|Anonymous Content|Central Films,606.0,2006.0,10.0
9693.0,2.108369,82206856.03,75673304.98,Children of Men,Clive Owen|Michael Caine|Julianne Moore|Charlie Hunnam|Chiwetel Ejiofor,Alfonso CuarÃ³n,109.0,['Horror Thriller'],Universal Pictures|Strike Entertainment|Hit & Run Productions,1211.0,2006.0,0.0
1452.0,1.957331,292050672.7,423020463.8,Superman Returns,Brandon Routh|Kevin Spacey|Kate Bosworth|James Marsden|Parker Posey,Bryan Singer,154.0,['Drama Action Thriller'],DC Comics|Legendary Pictures|Warner Bros.|Bad Hat Harry Productions,834.0,2006.0,-9944911.0
496.0,1.930735,19470044.85,282935169.8,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Sacha Baron Cohen|Ken Davitian|Luenell|Pamela Anderson|Bob Barr,Larry Charles,82.0,['Comedy Crime Drama'],Twentieth Century Fox Film Corporation|Four By Two Productions,979.0,2006.0,3302314.0
9339.0,1.888746,89237705.56,257092530.6,Click,Adam Sandler|Kate Beckinsale|Christopher Walken|David Hasselhoff|Henry Winkler,Frank Coraci,107.0,['Drama Horror Thriller'],Original Film|Columbia Pictures Corporation|Revolution Studios|Happy Madison Productions,1273.0,2006.0,0.0
9767.0,1.76935,56246796.23,221741837.8,The Break-Up,Vince Vaughn|Jennifer Aniston|Joey Lauren Adams|Cole Hauser|Jon Favreau,Peyton Reed,106.0,['Drama History War'],Universal Pictures|Mosaic Media Group|Wild West Picture Show Productions,520.0,2006.0,-7347125.0
388.0,1.747256,48675112.12,199434107.5,Inside Man,Denzel Washington|Clive Owen|Jodie Foster|Christopher Plummer|Willem Dafoe,Spike Lee,129.0,['Action Adventure Drama Horror Science Fiction'],Imagine Entertainment|Universal Pictures,990.0,2006.0,0.0
7518.0,1.615244,86533532.66,167679639.0,Over the Hedge,Bruce Willis|Garry Shandling|Steve Carell|Wanda Sykes|William Shatner,Tim Johnson|Karey Kirkpatrick,83.0,['Drama Thriller Crime'],Pacific Data Images (PDI)|DreamWorks Animation,617.0,2006.0,0.0
1427.0,1.6128,54083457.91,142975378.7,Perfume: The Story of a Murderer,Ben Whishaw|Simon Chandler|David Calder|Richard Felix|Birgit Minichmayr,Tom Tykwer,147.0,['Action Thriller Romance'],Davis-Films|Nouvelles Ã‰ditions de Films (NEF)|Rising Star|VIP Medienfonds 4|Ikiru Films,647.0,2006.0,0.0
